game_name,min_cpu,min_gpu,min_ram,min_dx,min_os,min_sto,min_net,rec_cpu,rec_gpu,rec_ram,rec_dx,rec_os,rec_sto,rec_net
Jenny LeClue - Detectivu,Intel i5 Quad-Core,Intel HD 4000,2 GB RAM,,Windows 7,2 GB available space,,,,,,,,
Jessika,2.0 GHz Dual Core Processor,GeForce 8800 or equivalent,4 GB RAM,Version 10,Windows 7/10 64-Bit,1 GB available space,,,,,,,,
Jet Lancer,Intel Core2 Duo E7300 (2 * 2660) or AMD Athlon II X2 270 (2 * 3400) or equivalent,GeForce GT 640 (2048 MB) or Radeon HD 4850 (1024 MB),4 GB RAM,,"Windows 7, 8.1, 10 x64",300 MB available space,,Intel Pentium G3250 (2*3200) or AMD FX 4350 (4*4200) or equivalent,GeForce GTX 750 (2048 MB) or Radeon RX 560X or GeForce MX 150 or GeForce GTX 970M or Intel UHD 620 or Intel Iris Pro 5200,4 GB RAM,,"Windows 7, 8.1, 10 64 bit",300 MB available space,
Jet Set Radio,Pentium 4 or Athlon CPU > 1Ghz or newer,256Mb video RAM or more (256Mb video RAM or more),1 GB RAM,9.0c,Windows XP SP2 or newer,,,,,,,,,
Jets'n'Guns 2,Dual Core 2.0 GHz,OpenGL 3.2 compatible,2 GB RAM,,Windows 7/8/10,250 MB available space,,,,,,,,
JETT: The Far Shore + Given Time,Quad Core 3.2GHz+ CPU (e.g. Intel Core i5-4590K / AMD Ryzen 5 1500X),NVIDIA Geforce GTX 1060 / AMD Radeon RX 480 or equivalent,8 GB RAM,DirectX 11,Windows 10 (64-bit),14 GB hard drive space,,Quad Core 3.6GHz+ CPU (e.g. Intel Core i7-8700K / AMD Ryzen 5 2600) or better,Geforce GTX 1070 or better,16 GB RAM,DirectX 11,Windows 10 (64-bit),14 GB hard drive space,
Jettomero: Hero of the Universe,Intel Core i7 7500U 2.70Ghz,Intel HD Graphics 620,8 GB RAM,,Windows 10,500 MB available space,,Core i7 920,GTX 970,8 GB RAM,,Windows 10,500 MB available space,
Job Simulator,"Intel i5-4590, AMD FX 8350 equivalent or better","Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better",4 GB RAM,,"Windows 7 SP1, Windows 8.1 or later, Windows 10",1 GB available space,,,,,,,,
Joe Danger,2.0Ghz Dual core processor,DirectX 10 compatible GPU,1 GB RAM,10,Windows® 7 (32/64-bit)/Vista/XP,700 MB HD space,,,,,,,,
Joe's Diner,"Intel® Core™ 2 Duo / AMD® Athlon™ X2, min. 2.4 GHZ",Nvidia® / AMD® with 256 MB memory,3 GB RAM,Version 10,Windows® Vista / 7 / 8,1 GB available space,,"Intel® Core™ 2 Quad / AMD® Phenom™ X4, min. 3,4 GHz",Nvidia® / AMD® with 512 MB memory,4 GB RAM,Version 10,Windows® Vista / 7 / 8 / 10 / 11,1 GB available space,
John Carpenter's Toxic Commando,,,,,,,,,,,,,,
John Deere: American Farmer Deluxe,866 MHz or higher,16 MB DirectX9-compatible video card,128 MB RAM,DirectX version 9.0 (included on CD) or higher,"Windows® ME, 2000 or XP",500 MB Free,,1 GHz or higher,32 MB DirectX9-compatible video card,256 MB RAM,DirectX version 9.0 (included on CD) or higher,"Windows® ME, 2000 or XP",500 MB Free,
John Deere: Drive Green,Pentium® IV 1.5 GHz processor or faster,"64 MB Video Card – NVIDIA, GeForce or ATI Radeon",256 MB RAM,DirectX 9.0,Windows® XP/Vista,300 MB Hard Drive Space,,Pentium® IV 2 GHz processor or faster,"128 MB Video Card – NVIDIA, GeForce or ATI Radeon",512 MB RAM,DirectX 9.0,Windows® XP/Vista,300 MB Hard Drive Space,
John Wick Chronicles,Intel i5-4590,NVIDIA Geforce GTX 970,8 GB RAM,Version 11,Windows 10,10 GB available space,Broadband Internet connection,Intel i7-4770,NVIDIA Geforce GTX 980 Ti,16 GB RAM,Version 12,Windows 10,10 GB available space,Broadband Internet connection
John Wick Hex,Intel i3-6300 3.80Ghz,NVIDIA GTX 960/AMD Radeon R9 200,8 GB RAM,,"Windows 10, 64-bit",,,3.1 GHz Intel Core i7,(NVIDIA GTX 960/AMD Radeon R9 200)+,16 GB RAM,,"Windows 10, 64-bit",,
Johnny Graves - The Unchosen One,Dual Core CPU 2.0 GHz,GeForce 300 or equivalent,2 GB RAM,Version 9.0c,Windows 7,700 MB available space,,,,,,,,
Joint Task Force,Pentium(R) 4 2.0 GHz or AMD(R) Athlon(TM) 2000+ or equivalent processor,64 MB NVIDIA(R) GeForce(R) 4 Ti or ATI(R) Radeon(R) 9500 video card,512 MB RAM,DirectX(R) 9.0c or higher,"Windows(R) XP, x64 or 2000 with latest service pack installed",5.0 GB free hard drive space for installation,Internet or LAN connection for multiplayer games,Pentium(R) 4 3.0 GHz or equivalent processor,GeForce(R) 6800 or equivalent DirectX(R) 9 compliant video card with hardware T&L and pixel shader 2.0 support,1 GB RAM,DirectX(R) 9.0c or higher,"Windows(R) XP, x64 or 2000 with latest service pack installed",5.0 GB free hard drive space for installation,Internet or LAN connection for multiplayer games
JoJo's Bizarre Adventure: All-Star Battle R,AMD FX-4350 or Intel Core i3-6300,Nvidia GeForce GTX 770 or AMD Radeon HD 7950,8 GB RAM,Version 11,Windows 10,6 GB available space,,AMD FX-9590 or Intel Core i5-5675C,Nvidia GeForce GTX 1060 or AMD Radeon R9 390,16 GB RAM,Version 11,Windows 10,6 GB available space,
Jolly Rover,Pentium IV 1.2 Ghz processor or faster,Standard,256 MB RAM,DirectX® 9.0c,"Windows 7, Vista, XP SP1 & 2",160 MB,,,,,,,,
Jon Shafer's At the Gates,1.6 Ghz,"X1950 Pro, 7900 GT",2 GB RAM,Version 9.0c,Windows XP/Vista/7,2 GB available space,,,,,,,,
Jotun,1.8 GHz Processor,DirectX 10-compatible graphics card with at least 256MB of video memory,4 GB RAM,Version 10,Microsoft® Windows® 7,8 GB available space,,,,,,,,
Journey,Intel Core i3-2120 | AMD FX-4350,"1 GB Video RAM, Nvidia GTS 450 | AMD Radeon HD 5750",4 GB RAM,,"Windows 7, 64-bit",4 GB available space,,,,,,,,
Journey To The Center Of The Earth,2 GHZ,(Any),1 GB RAM,Version 9.0c,Windows XP,128 MB available space,,,,,,,,
Journey to the Savage Planet,"Intel Core i5-750, 2.67 GHz",NVIDIA GeForce GTX 660 | AMD Radeon HD 7950,4 GB,DirectX 11,"Win 7, 8, 10",,,,,,,,,
Judas,,,,,,,,,,,,,,
Judgment,"Intel Core i5-3470, 3.2 GHz or AMD Ryzen 3 1200, 3.1 GHz","NVIDIA GeForce GTX 960, 2 GB or AMD Radeon RX 460, 2 GB",8 GB RAM,,"Windows 10, 64-bit",40 GB available space,,"Intel Core i7-4790, 3.6 GHz or AMD Ryzen 5 1600, 3.2 GHz","NVIDIA GeForce RTX 2060, 6 GB or AMD Radeon RX Vega 56, 8 GB",8 GB RAM,,"Windows 10, 64-bit",60 GB available space,
Juiced,933Mhz CPU,3D accelerated DirectX9c compatible video card NVIDIA GeForce2 or better ATI 8500 32 MB or better Intel 915G integrated graphics or better Matrox Parhelia,256 Megabytes of RAM,Directx 9.0c or better,Windows XP,2.6 GB free hard drive space (additional space required for Windows swap-file and DirectX 9.0c installation),,2.8 Ghz CPU,"3D accelerated GeForceFX 6800, ATI Radeon 9800 or better DirectX9 compatible video card",512 Megabytes of RAM,Directx 9.0c or better,Windows XP,2.6 GB free hard drive space (additional space required for Windows swap-file and,
Juiced 2 Hot Import Nights,Intel Pentium 4 3.0 Ghz / AMD XP X2 4200+,256 MB DirectX® 9.0 compatible card / nVIDIA® GeForce™ 7600 / ATI Radeon® X1600,1 GB RAM,DirectX® 9.0,Microsoft® Windows® XP (Service Pack 2) / Microsoft® Windows® Vista,6 GB available hard drive space,>=64kbps Internet connection with low latency Cable/DSL speeds for multiplayer,Intel Core 2 Duo E6400 / AMD 64 X2 4200+,256 MB DirectX® 9.0c compatible card / nVIDIA® GeForce™ 7900 / ATI Radeon® X1950,2.0 GB RAM,DirectX® 9.0,Microsoft® Windows® XP (Service Pack 2) / Microsoft® Windows® Vista,6 GB available hard drive space,>=256kbps Internet connection with low latency Cable/DSL/T1+ speeds for multiplayer
JUJU,3.0 GHz Intel Pentium 4 or 1.8 GHz AMD Athlon 64 3000+,nVidia GeForce 6800GT or AMD Radeon X1950 Pro (256MB VRAM with Shader Model 3.0 or higher),1 GB RAM,9.0c,WindowsXP/Vista/7/8,3 GB available space,,2.0 GHz Intel® Core™2 Duo E4400 or 2.0 GHz AMD Athlon™ X2 3800+ or better,"nVidia GeForce 9600GT or higher, AMD Radeon HD3850 or higher (512MB VRAM with Shader Model 4.0)",2 GB RAM,9.0c,WindowsXP/Vista/7/8,3 GB available space,
JUMANJI: The Video Game,Intel Core 2 Quad Q6600 (2.4 GHz) or AMD equivalent,GeForce GT 430 (1024 MB)/ Radeon HD 6850 (1024 MB),4 GB RAM,Version 9.0,Windows 7 / 8 / 10 (64-bit),3 GB available space,,"Intel i5, 4 x 2.6 GHz or AMD equivalent",(Any),4 GB RAM,Version 11,Windows 10 (64-bit),5 GB available space,
Jumanji: Wild Adventures,AMD Ryzen 3 1200 /Intel Core i3-7100,AMD Radeon RX 550 4GB / Nvidia GTX 750,8 GB RAM,Version 11,Windows 10 64-Bit,8 GB available space,,AMD Ryzen 5 2500X / Intel Core i5-8400,AMD Radeon R9 280 / Nvidia GTX 960,8 GB RAM,Version 11,Windows 10 64-Bit,16 GB available space,
Jump Force,"Intel Core i5-2300, 2.80 GHz / AMD A10-7850K, 3.70 GHz","GeForce GTX 660 Ti, 3 GB / Radeon HD 7950, 3 GB",4 GB RAM,Version 11,Windows 7/8/10 (64-bit OS required),17 GB available space,Broadband Internet connection,Intel Core i7-6700 / AMD Ryzen 5 1400,GeForce GTX 1060 / Radeon R9 Fury,8 GB RAM,Version 11,Windows 7/8/10 (64-bit OS required),17 GB available space,Broadband Internet connection
Jumpgate Evolution,Intel P4 1.4GHz or better (2GHz if using Vista),64MB Graphics Card,512MB RAM (1GB if using Vista),,Windows XP/Vista,8GB free hard disk space,Broadband connection,Dual-core Intel Pentium D,256MB Graphics card with vertex and pixel shader capability,2GB RAM,,Windows XP/Vista,8GB free hard disk space,Broadband connection
Jumpgate: The Reconstruction Initiative,200mhz Processor,32MB 3D Accelerated Video Card (DirectX 8.1 compatible),32MB system RAM,DirectX 8.1+,Windows 95/98/ME/2000/XP,150MB Free Hard Drive space,28.8k dialup Internet Connection,350mhz Processor,32MB 3D Accelerated Video Card (DirectX 8.1 compatible) nVidia brand video cards recommended over ATI,128MB system RAM,DirectX 8.1+,Windows 95/98/ME/2000/XP,,Broadband Internet Connection
Junkyard Simulator,"Intel Core i5-2500 @ 3,30 GHz (4 CPUs)",NVidia GeForce GTX 960 4GB,8 GB RAM,Version 11,Windows (64-bit) 10,20 GB available space,,"Intel Core i7-6700 @ 3,40 GHz (4 CPUs)",NVidia GeForce GTX 1060 6GB,16 GB RAM,Version 11,Windows (64-bit) 10,20 GB available space,
Juno's Darkest Hour,1 Ghz,256 MB VRAM,1 GB RAM,,"Windows XP, Vista, 7, 8, 10",60 MB available space,,,,,,,,
Jupiter Hell,(Any),"OpenGL 4.3+ compatible, 2 GB VRAM",8 GB RAM,,"Windows® 7, 64-bit",2 GB available space,,(Any),NVIDIA GeForce GTX 960 or better,8 GB RAM,,"Windows® 7, 64-bit",2 GB available space,
Jurassic Park: Operation Genesis,"Pentium III, Celeron, or AMD Athlon 400MHz Processor",16MB 640x480 at 16-bit color DirectX compatible 3D Accelerated Video Card,128MB RAM,DirectX 8.1,Windows 98/ME/2000/XP,700MB Hard Disk Space,,"Pentium III, Celeron, or AMD Athlon 800MHz Processor",64MB 640x480 at 16-bit color DirectX compatible 3D Accelerated Video Card,256MB RAM,DirectX 8.1,Windows 98/ME/2000/XP,700MB Hard Disk Space,
Jurassic Park: The Game,1.8 GHz Pentium 4 or equivalent,ATI or NVidia card w/ 256 MB RAM,2 GB RAM,Direct X 9.0c,XP Service Pack 3 / Vista / Windows 7,2 GB Space Free,,,,,,,,
Jurassic World Evolution,Intel i5-2300/AMD FX-4300,NVIDIA GeForce GTX 1050 (Legacy GPU: GeForce GTX 660) / AMD Radeon 7850 (2GB),8 GB RAM,Version 11,Windows 7 (SP1+)/8.1/10 64bit,8 GB available space,,Intel i7-4770/AMD FX-8350,NVIDIA GeForce GTX 1060 / AMD RX 480,12 GB RAM,Version 11,Windows 7 (SP1+) / 8.1/10 64bit,12 GB available space,
Jurassic World Evolution 2,Intel i5-4590/AMD FX 8370,(4GB VRAM) NVIDIA GeForce GTX 1050Ti (Legacy GPU: GeForce GTX 960) / AMD Radeon RX 470,8 GB RAM,Version 12,Windows 10 64bit (min version 1809),14 GB available space,,Intel i7-5775C/AMD Ryzen 5 1500X,(6GB VRAM) NVIDIA GeForce GTX 1070 / AMD RX 570 (8GB),12 GB RAM,Version 12,Windows 10 64bit (min version 1809),14 GB available space,
Jusant,"Core i5-7400 / 7300HQ , AMD Ryzen 3 1300X","NVIDIA GTX 1060 3GB, RX 480 4GB",8 GB RAM,,"Windows 10, 64-bit",20 GB available space,,Core i7-6700,"NVIDIA GeForce GTX 1080, or AMD Radeon RX 5600 XT",16 GB RAM,,"Windows 10, 64-bit",20 GB available space,
Just Cause,Pentium IV 1.4Ghz (or AthlonXP 1700+),100% DirectX 9.0c compatible 64 MB 3D Accelerated Card with Shader Model 1.1 (GeForce 4ti 4200 / Radeon 9500),512 MB RAM,DirectX 9.0c,Microsoft Windows® 2000/XP,5.8 GB,,Pentium IV 2.8 Ghz or Athlon 64 or higher,100% DirectX 9.0c compatible 256MB 3D Accelerated Card with Shader Model 2.0 (Nvidia GeforceT 7 Series),1 GB RAM,DirectX 9.0c,Microsoft Windows® 2000/XP,7.4 GB,
Just Cause 2,Dual-core CPU with SSE3 (Athlon 64 X2 4200 / Pentium D 3GHz),Nvidia Geforce 8800 Series / ATI Radeon HD 2600 Pro with 256MB memory or equivalent DX10 card with 256MB memory,2GB,Microsoft DirectX 10,Microsoft Windows Vista or Windows 7 (Windows XP is unsupported),10GB of free drive space,Internet connection required for product activation,Intel Core 2 Duo 2.6GHz or AMD Phenom X3 2.4GHz,Nvidia GeForce GTS 250 Series with 512MB / ATI Radeon HD 5750 Series with 512MB or equivalent DX10 card with 512MB memory,3GB,Microsoft DirectX 10.1 with Vista SP1,Microsoft Windows Vista or Windows 7 (Windows XP is unsupported),10GB of free drive space,Internet connection required for product activation
Just Cause 3,"Intel Core i5-2500k, 3.3GHz / AMD Phenom II X6 1075T 3GHz",NVIDIA GeForce GTX 670 (2GB) / AMD Radeon HD 7870 (2GB),6 GB RAM,DirectX 11,Vista SP2 / Windows 7.1 SP1 / Windows 8.1 (64-bit Operating System Required),54 GB available space,,"Intel Core i7-3770, 3.4 GHz / AMD FX-8350, 4.0 GHz",NVIDIA GeForce GTX 780 (3GB) / AMD R9 290 (4GB),8 GB RAM,DirectX 11,Vista SP2 / Windows 7.1 SP1 / Windows 8.1 (64-bit Operating System Required),54 GB available space,
Just Cause 4,Intel Core i5-2400 @ 3.1 GHz | AMD FX-6300 @ 3.5 GHz or better,NVIDIA GeForce GTX 760 (2GB VRAM or better) | AMD R9 270 (2GB VRAM or better),8 GB RAM,Version 11,Windows 7 SP1 with Platform Update for Windows 7 (64-bit versions only),59 GB available space,,Intel Core i7-4770 @ 3.4 GHz | AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,NVIDIA GeForce GTX 1070 (6GB VRAM or better) | AMD Vega 56 (6GB VRAM or better),16 GB RAM,Version 11,Windows 10 (64-bit versions only),59 GB available space,
Just Cause 5,,,,,,,,,,,,,,
Just Dance 2017,Intel i5 750 @ 3.3 GHz or AMD Phenom II X4 955 @ 3.2 GHz,nVidia GeForce GTX460 or AMD Radeon HD5850 (1024MB VRAM),4 GB RAM,Version 11,Windows 7 SP1 or Windows 8.1 or Windows 10 (64bit versions),,,,,,,,,
Just Die Already,Intel Core i5-3470 @ 2.9hz / AMD FX-6300,NVIDIA GeForce 750 Ti / AMD Radeon R7 260X,8 GB RAM,Version 11,"Windows 8 or higher, 64-bit",2.5 GB available space,Broadband Internet connection,Intel Core i5-9400F @2.9hz / AMD FX-6300,NVIDIA GeForce 760 / AMD Radeon R9 270X,8 GB RAM,Version 11,"Windows 10, 64-bit",2.5 GB available space,Broadband Internet connection
Just Shapes & Beats,Intel Core i3 3.0 GHz 64 bits Processor,DirectX 11-compatible graphics card with at least 512MB of video memory,8 GB RAM,Version 11,Microsoft® Windows® 7 (64-bit),1 GB available space,,Intel Core i5 3.5GHz 64 bits Processor,DirectX 11-compatible graphics card with at least 1024MB of video memory,8 GB RAM,Version 11,Microsoft® Windows® 10 (64-bit),1 GB available space,
Just Survive (H1Z1),Intel i3 Dual-Core with Hyper-Threading (required),nVidia GeForce GTX 275 series or higher / AMD Radeon HD 4870 X2 series or higher,4 GB RAM,Version 10,"Windows 7, 8, 8.1, 10 (64 bit only)",20 GB available space,Broadband Internet connection,Intel i5 Quad Core or higher / AMD Phenom II X6 or higher,nVidia GeForce GTX 960 series or higher / AMD Radeon R9 280X series or higher,8 GB RAM,Version 10,"Windows 7, 8, 8.1, 10 (64 bit only)",20 GB available space,Broadband Internet connection
Just Us,,,,,,,,,,,,,,
K. Hawk - Survival Instinct,"P 3 500, AMD Athlon 500","3D acceleration: 16MB video memory with texture compression, or 32 MB video memory without texture compression",128 MB RAM,DIRECTX 8.1,"Win 9x, Win 2k, Win XP, Win ME",500 MB free discspace,,"P 3 800, P4 1000, AMD Athlon 800",TnL 3D acceleration with 64 MB video memory,256 MB RAM,DIRECTX 8.1,Windows 95/98/2000/ME,800 MB free discspace,
Kairo,2GHz Dual Core,Shader Model 3.0,2 GB RAM,,Windows XP,1 GB HD space,,,,,,,,
Kane & Lynch 2: Dog Days,Intel 3.0 GHz or AMD 2.5 GHz or higher,"Nvidia 7800 / ATI X1800 or better (Shader Model 3.0, 512 MB Video Memory)","1 GB (XP), 2 GB (Vista)",DirectX®: 9.0c,Windows XP/Vista/7,9 GB Free Space,,,,,,,,
Kane & Lynch 3,,,,,,,,,,,,,,
Kane & Lynch: Dead Men,Pentium 4 2Ghz or Athlon XP 2000+,100% DirectX 9.0c compatible 128 MB 3D Accelerated Card with Vertex Shader 3.0 and Pixel Shader 3 (128 MB NVIDIA 6600 or better/ATI X1300 or better),1GB (for Windows XP/Vista),DirectX 9.0c,Microsoft Windows XP or Vista,8GB free disk space,Internet service required to access online features,Pentium 4 3.0Ghz or Athlon 64 3000+,100% DirectX 9.0c compatible 256 MB 3D Accelerated Card with Vertex Shader 3.0 and Pixel Shader 3,2GB RAM,DirectX 9.0c,"Microsoft Windows XP, Vista",8GB free disk space,
Kao the Kangaroo,"i5-3300 3,20 GHz 4 cores/4 threads","GeForce GTX 760, 2 GB",8 GB RAM,Version 11,"Win 10 or newer, 64-bit",9 GB available space,,,,,,,,
Karateka,1.5GHz dual-core,ATI X1800 or better,1GB,9.0c,"Win XP, Win 7, Vista, Win 8",1000 MB HD space,,1.5GHz dual-core,ATI X1800 or better,2GB,9.0c,Win 7,1500 MB HD space,
KARDS - The WWII Card Game,,,,Version 11,"Windows 7 SP1, 64-bit",5 GB available space,,,,,,,,
KARLSON,dual core 2.00GHz,intel hd 520,2 GB RAM,Version 10,Windows 7,512 MB available space,,i5,GeForce GTX 660,4 GB RAM,Version 10,Windows 10,512 MB available space,
Karma. Incarnation 1,Intel Core 2 Duo,Intel GMA 3000,1 GB RAM,,7/ 8 / Vista / XP SP3,2 GB available space,,Intel core i7,GeForce 840M,2 GB RAM,,2007-08-10,2 GB available space,
Karmaflow: The Rock Opera Videogame,Intel Core 2 Duo 2.4 GHz or AMD Athlon X2 4800+,ATI Radeon HD 3850 512 MB or NVIDIA GeForce 8800 GT 512 MB,2 GB RAM,Version 9.0,"Windows XP, Vista, 7",4 GB available space,,,,,,,,
KartKraft,Intel Core i5-4460 or AMD FX-8120,GeForce GTX 760,4 GB RAM,Version 11,"64-Bit Windows 7 Service Pack 1, or Windows 8",32 GB available space,,Intel Core i5-8600K or AMD Ryzen 5 2600X,GeForce GTX 1070 8 GB,16 GB RAM,Version 11,64-Bit Windows 10,32 GB available space,
Kartong - Death by Cardboard!,Intel® i7-4790 or greater,NVIDIA Geforce® GTX 970 / AMD Radeon RX 480 or greater (Recommended: NVIDIA Geforce® GTX 980),8 GB RAM,Version 11,"Windows 10, 64-bit",9 GB available space,,,,,,,,
KartRider: Drift,Intel 1st Gen i3 / AMD FX-6000 Series,GeForce GTX 760 / AMD Radeon HD 7950,8 GB RAM,,Windows 10 or above (64-bit),30 GB available space,,Intel 4th Gen i7 / AMD 1st Ryzen 5,GeForce GTX 780TI / AMD Radeon RX 5500 XT,8 GB RAM,,Windows 10 or above (64-bit),30 GB available space,
Katana ZERO,Intel Pentium E2180 (2 * 2000) or equivalent,GeForce 7600 GT (256 MB),1 GB RAM,Version 10,"Windows 7, 8, 8.1, 10 x64",200 MB available space,,Intel Core i3-3240 (2 * 3400) or equivalent,GeForce 8800 GTS (512 MB),2 GB RAM,,"Windows 7, 8, 8.1, 10 x64",200 MB available space,
Kate: Collateral Damage,2.4 GHz Intel Core 2 Duo or equivalent,NVIDIA GeForce 8600 GT or equivalent,2 GB RAM,Version 9.0,Windows Vista / 7 / 8 / 8.1 / 10,400 MB available space,,3.3 GHz Intel Core i5 or equivalent,NVIDIA GeForce GTX 560 Ti or equivalent,4 GB RAM,Version 9.0,Windows Vista / 7 / 8 / 8.1 / 10,400 MB available space,
Kathy Rain,300 MHz Processor,320 x 240 32 bit,128 MB RAM,Version 9.0,Windows XP,1 GB available space,,1 gigahertz (GHz) or faster 32-bit (x86) or 64-bit (x64) processor,DirectX 9 graphics device with WDDM 1.0 or higher driver,2 GB RAM,Version 9.0,Windows 7 or higher,1 GB available space,
Kaze and the Wild Masks,Intel Core i3 M380,Intel HD 5000,4 GB RAM,Version 10,Windows 7 or newer,600 MB available space,,,,,,,,
Keep Talking and Nobody Explodes,Any,Any,,,Windows 7 or higher,,,,,,,,,
Kelvin and the Infamous Machine,1.7 GHz Dual Core,"NVIDIA GeForce GTX 260, ATI Radeon 4870 HD, or equivalent card with at least 512 MB VRAM",2 GB RAM,,Windows 7,500 MB available space,,,,,,,,
Ken Follett's The Pillars of the Earth,2.8 Ghz Dual Core CPU,"AMD Radeon HD 6670, GeForce GTX 200 series with at least 1GB",4 GB RAM,Version 9.0,"Win 7, 8, 10, 32/64-bit",13500 MB available space,,Quad Core CPU,"AMD R7 200 series, GeForce GTX 500 series",4 GB RAM,Version 9.0,"Win 7, 8, 10, 32/64-bit",13500 MB available space,
Kena: Bridge of Spirits,AMD FX-6100/Intel i3-3220 or Equivalent,AMD Radeon R7 360 2GB/NVIDIA GeForce GTX 650 Ti 2GB or Equivalent,12 GB RAM,Version 11,64-bit Windows 7/8.1/10,25 GB,,AMD Ryzen 5 2600X/Intel i7-6700K or Equivalent,AMD Radeon RX Vega 56 8GB/ Nvidia GeForce GTX 1070 8GB or Equivalent,16 GB RAM,Version 12,64-bit Windows 7/8.1/10,25 GB,
Kenshi,Dual-core 64-bit,Pixel shader 3.0 capable card,6 GB RAM,11,64-bit Windows,14 GB HD space,,Quad-core 64-bit,Pixel shader 3.0 capable card,16 GB RAM,11,Windows 7 64-bit,14 GB HD space,
Kentucky Route Zero,1 GHz,Directx 9.0c compatible video card,512 MB RAM,9.0c,Windows 7,250 MB HD space,,1 GHz,Directx 9.0c compatible video card,1 GB RAM,9.0c,Windows 7,250 MB HD space,
Kerbal Space Program,Core 2 Duo,"DX10 (SM 4.0) capable, 512MB VRAM",3 GB RAM,,Windows Vista SP1,4 GB HD space,,Core i5,"DX10 (SM 4.0) capable, 1GB VRAM",4 GB RAM,,Windows 10 64 bit,6 GB HD space,
Kerbal Space Program 2,AMD Athlon X4 845 @3.5 GHz or Intel Core i5-6400 @ 2.7 GHz,"nVidia RTX 2060 w/ 6GB VRAM, nVidia GTX 1070 Ti w/8GB VRAM, AMD Radeon 5600XT w/ 6GB VRAM",12 GB RAM,Version 11,Windows 10 64-bit,45 GB available space,,Intel i5-11500 @ 2.7GHz or AMD Ryzen 5 3600 6-Core @ 3.6GHz,nVidia GeForce RTX 3080 or AMD Radeon RX 6800 XT,16 GB RAM,Version 11,Windows 10 64-bit,60 GB available space,
Keyboard Sports - Saving QWERTY,2.6 GHz Intel Quad Core,"NVIDIA GeForce GT 750M, 2 GB Memory",8 GB RAM,Version 11,Windows 7 (64-bit),,,2.6 GHz Intel Quad Core,"NVIDIA Geforce GTX 980, 2 GB Memory",8 GB RAM,Version 11,Windows 10 (64-bit),,
Kholat,Intel Core i3,GeForce GTX 470,4 GB RAM,Version 10,Windows 7 32 bit SP1,5 GB available space,Broadband Internet connection,Intel Core i5,GeForce GTX 660 TI,8 GB RAM,Version 11,Windows 8.1 64 bit,10 GB available space,Broadband Internet connection
Kick Ass Commandos,1.2Ghz+,256 MB+,2 GB RAM,Version 9.0c,"Windows XP, Vista, 7, 8, 10 etc",250 MB available space,,,,,,,,
Kick-Ass 2,Intel® Core™ i3 / AMD® Athlon™ 64 x2 or higher,Nvidia® GeForce™ 8800 GTS / AMD® Radeon™ HD 3850 or better,2 GB RAM,9.0c,Windows XP / Vista / 7 / 8,1 GB available space,,,,,,,,
KickBeat,Dual Core CPU @ 2 GHz,"Geforce 8600 GT (GDDR2, 512MB) / Radeon HD 2600 Pro (512 MB) category, DirectX® 10 compatible video card",1 GB RAM,10,Windows Vista/Windows 7/Windows 8,2 GB available space,,Dual Core CPU @ 2.40 GHz,"Geforce 8600 GT (GDDR3, 512 MB) / Radeon HD 3650 (512 MB) category, DirectX® 10 compatible video card",2 GB RAM,10,Windows Vista/Windows 7/Windows 8,2 GB available space,
KIDS,Intel i5/i7 or equivalent,Graphics card with DX10 (shader model 4.0) capabilities,2 GB RAM,DX10,Windows 10,1 GB available space,,,,,,,,
Kill Switch,Intel Pentium III 800MHz or above AMD Athlon 900MHz or above,64 MB Nvidia GeForce 4/5,128 MB RAM (for Windows 2000 and Windows XP) 64MB RAM (for Windows 98 and Windows Millenium Edition),DirectX9.0,Microsoft Windows 98 Microsoft Windows Millenium Edition Microsoft Windows 2000 Microsoft Windows XP,,,"Pentium 4 or AMD Athlon, 1,5 GHz or higher",GeForce 3 or Radeon 9000 series with 64MB RAM or higher,128 MB RAM (for Windows 2000 and Windows XP) 64MB RAM (for Windows 98 and Windows Millenium Edition),DirectX9.0,Microsoft Windows 98 Microsoft Windows Millenium Edition Microsoft Windows 2000 Microsoft Windows XP,,
Killer Frequency,Intel Core i3-540 or AMD Phenom II X4 965,"NVIDIA GeForce GT 730, 2 GB or AMD Radeon HD 6670, 1 GB",4 GB RAM,,Windows 10 64-bit,2 GB available space,,Intel Core i5-2400 or AMD FX-6300,"NVIDIA GeForce GTX 750 Ti, 2 GB or AMD Radeon HD 7850, 2 GB",6 GB RAM,,Windows 10 64-bit,2 GB available space,
Killer Instinct,Intel Core i5-750 @ 2.67 GHz or AMD Phenom II X4 965 @ 3.4 GHz,NVIDIA GeForce GTX 480 or AMD Radeon HD 5850,4 GB RAM,Version 11,Windows 7,48 GB available space,Broadband Internet connection,Intel Core i5-4670K @ 3.4GHz or AMD FX-4300 @ 3.8 GHz,NVIDIA GeForce GTX 670 or AMD Radeon HD 7950,8 GB RAM,Version 11,Windows 10,48 GB available space,Broadband Internet connection
